experiment,description,algorithms,run,seed,average_delay_mean,average_delay_std,average_delay_min,average_delay_max,average_delay_final,throughput_mean,throughput_std,throughput_min,throughput_max,throughput_final,average_queue_length_mean,average_queue_length_std,average_queue_length_min,average_queue_length_max,average_queue_length_final,average_speed_mean,average_speed_std,average_speed_min,average_speed_max,average_speed_final,total_vehicles_mean,total_vehicles_std,total_vehicles_min,total_vehicles_max,total_vehicles_final
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",15,15,32.82661336696085,7.387951554052219,0.0,58.15652173913043,32.69364658874808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8493322626937198,0.738357756275995,0.0,3.75,0.8552700620876128,17.500740740740742,4.299784599192302,3.0,33.0,17.394444444444446
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",16,16,23.06267084494139,6.5392856228310485,0.0,43.21666666666667,22.379696624699683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9189661420728694,0.6879344731637006,0.0,3.75,0.901475459053924,13.16648148148148,3.886046575942935,0.0,28.0,14.503703703703705
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",17,17,37.33698212424063,6.540493802956366,0.0,59.09000000000002,37.55278040904415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.841351359667601,0.7412453062916932,0.0,3.4285714285714284,0.8304298501949177,22.61722222222222,5.210846919386901,0.0,43.0,22.742592592592597
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",18,18,23.48082812508961,6.155898971107865,0.0,48.31999999999999,23.20752091263503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8894067010706774,0.694917624420489,0.0,4.0,0.8751896999975758,13.53462962962963,3.791938922075581,0.0,26.0,15.511111111111113
add_aco,ACO routing only (fixed signals),"cellular_automata,aco",19,19,24.64521113022437,7.28090028071549,0.0,48.38461538461539,23.17482071014631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918773344284301,0.7120341710697894,0.0,3.75,0.9939969389754728,14.332962962962965,4.315075480919849,0.0,29.0,13.766666666666667
add_pso,PSO timing optimization only,"cellular_automata,pso",0,0,35.88142009157801,8.281520035326936,0.0,66.61333333333333,38.56261773971409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0322500241071089,0.7794472773234902,0.0,3.764705882352941,1.012796404288793,17.474074074074075,3.7043110613118704,0.0,30.0,17.098148148148148
add_pso,PSO timing optimization only,"cellular_automata,pso",1,1,36.84023038531521,8.40007273540051,0.0,63.77777777777778,35.86861419239594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0146097098958289,0.7907794098678458,0.0,4.0,1.0126763328349548,18.08537037037037,4.032269011529899,0.0,29.0,16.942592592592593
add_pso,PSO timing optimization only,"cellular_automata,pso",2,2,35.729781393913484,9.04763457205373,0.0,64.41818181818184,36.509933104616536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.054574452992067,0.8013518286559029,0.0,5.0,1.0726555159897653,17.027407407407406,4.730553638096507,0.0,32.0,17.131481481481483
add_pso,PSO timing optimization only,"cellular_automata,pso",3,3,35.9824909469355,8.820990147634879,0.0,69.55,34.60197038815185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.028860464475064,0.8077915045290491,0.0,3.6666666666666665,1.1122519615162652,17.057407407407407,4.489786840269395,0.0,31.0,15.309259259259258
add_pso,PSO timing optimization only,"cellular_automata,pso",4,4,35.13376098077925,8.242522142434174,0.0,63.650000000000006,33.892336317156634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0492399756036976,0.8009418467118317,0.0,3.9,1.0550104790027,17.49962962962963,4.301205672040824,0.0,31.0,17.451851851851853
add_pso,PSO timing optimization only,"cellular_automata,pso",5,5,35.30316194639675,8.59258361673359,0.0,69.28,35.548266245938336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0440612849961288,0.7985344292432413,0.0,3.642857142857143,1.0192836736735045,17.657777777777778,4.302961369012029,0.0,33.0,16.918518518518518
add_pso,PSO timing optimization only,"cellular_automata,pso",6,6,34.9906915131878,7.891853776656909,0.0,62.292307692307695,35.762618120550215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0301857954024096,0.80890889932211,0.0,4.5,1.0343321213143513,17.348518518518517,4.047223285628202,0.0,30.0,18.738888888888887
add_pso,PSO timing optimization only,"cellular_automata,pso",7,7,35.69844307198145,8.206639546290097,0.0,68.41538461538461,34.042330125400014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0477452964954237,0.791480112386091,0.0,4.0,1.1059072242906764,16.910925925925927,4.177544808154984,1.0,30.0,17.153703703703705
add_pso,PSO timing optimization only,"cellular_automata,pso",8,8,35.21060400864957,8.230420273853369,0.0,63.28333333333334,30.816987080281063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0438696312148943,0.7931151780237967,0.0,3.631578947368421,1.0839709611392188,17.298333333333332,4.244918203635443,0.0,33.0,15.566666666666666
add_pso,PSO timing optimization only,"cellular_automata,pso",9,9,36.69516846448168,8.855893223695317,0.0,71.97142857142858,35.871483536798905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.031707114726591,0.8079097451349612,0.0,3.636363636363636,1.062893979449463,17.133333333333333,4.202953106425864,0.0,30.0,16.505555555555556
add_pso,PSO timing optimization only,"cellular_automata,pso",10,10,37.429822841564246,9.82264180122916,0.0,66.95555555555556,38.85298890346464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0120802157730615,0.8015029533819547,0.0,3.9166666666666665,0.9829922438885492,16.833518518518517,4.380075535205016,0.0,30.0,17.238888888888887
add_pso,PSO timing optimization only,"cellular_automata,pso",11,11,36.05215320999878,8.958468081456981,0.0,65.75,33.68560922471839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0455383249494803,0.797130724801353,0.0,3.8,1.109081255352809,16.709629629629628,3.966542931292784,0.0,30.0,16.692592592592593
add_pso,PSO timing optimization only,"cellular_automata,pso",12,12,36.2424522962762,8.819283609625241,0.0,66.81818181818183,38.445533824699154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0411491880286328,0.796553363361393,0.0,3.588235294117647,1.033438460398179,18.22351851851852,4.157305331585285,0.0,37.0,18.427777777777777
add_pso,PSO timing optimization only,"cellular_automata,pso",13,13,35.97947437741161,8.585225395149498,0.0,65.0,38.93047417449902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0350178177838845,0.8062431370210147,0.0,5.0,0.9579584656672724,16.84777777777778,3.883413764864079,0.0,30.0,19.314814814814813
add_pso,PSO timing optimization only,"cellular_automata,pso",14,14,35.403748691760654,8.331666346710753,0.0,65.38823529411764,34.85276832632714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.036760051327495,0.7959572692591088,0.0,4.090909090909091,1.0939008822616794,17.28388888888889,4.129922390386687,0.0,35.0,16.95740740740741
add_pso,PSO timing optimization only,"cellular_automata,pso",15,15,35.79475465773325,8.51483962695747,0.0,64.46000000000001,37.66094391264867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0332432121102786,0.8165063941380142,0.0,3.9444444444444446,0.9925911232493544,16.55537037037037,4.110813298355558,3.0,33.0,16.766666666666666
